ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Player_Favorite;Player_Not_Favorite;Favorite_Wins;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;3rd Round;3,0;Haas T.;Philippoussis M.;0;Philippoussis M.;Haas T.;35,0;22,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;3rd Round;3,0;Norman M.;Grosjean S.;1;Norman M.;Grosjean S.;5,0;19,0;6,0;3,0;6,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;3rd Round;3,0;Costa A.;Schalken S.;0;Schalken S.;Costa A.;64,0;13,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;3rd Round;3,0;Sampras P.;Black B.;1;Sampras P.;Black B.;2,0;62,0;4,0;6,0;6,0;3,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Rusedski G.;Mirnyi M.;0;Mirnyi M.;Rusedski G.;68,0;18,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Enqvist T.;Johansson T.;1;Enqvist T.;Johansson T.;10,0;55,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Lapentti N.;di Pasquale A.;1;Lapentti N.;di Pasquale A.;8,0;53,0;3,0;6,0;6,0;3,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Arazi H.;Dosedel S.;1;Arazi H.;Dosedel S.;34,0;51,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Sampras P.;Ferreira W.;1;Sampras P.;Ferreira W.;2,0;46,0;3,0;6,0;7,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Philippoussis M.;Clavet F.;1;Philippoussis M.;Clavet F.;35,0;42,0;7,0;5,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Norman M.;Chang M.;1;Norman M.;Chang M.;5,0;40,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Escude N.;Safin M.;1;Escude N.;Safin M.;30,0;31,0;6,0;2,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Costa A.;Ivanisevic G.;1;Costa A.;Ivanisevic G.;13,0;70,0;6,0;2,0;6,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Hrbaty D.;Santoro F.;0;Santoro F.;Hrbaty D.;33,0;21,0;6,0;7,0;7,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Rios M.;Zabaleta M.;0;Zabaleta M.;Rios M.;28,0;7,0;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Rafter P.;Corretja A.;0;Corretja A.;Rafter P.;26,0;15,0;7,0;6,0;5,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Hewitt L.;Black B.;0;Black B.;Hewitt L.;62,0;12,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;2nd Round;3,0;Henman T.;Grosjean S.;0;Grosjean S.;Henman T.;19,0;9,0;6,0;3,0;3,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Chang M.;Marin J.A.;1;Chang M.;Marin J.A.;37,0;73,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
