ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Ivanisevic G.,Prinosil D.,69,94,6,3,6,2,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Goldstein P.,Ruud C.,82,98,6,2,6,1,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Federer R.,Gimelstob J.,53,99,7,5,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Moya C.,Viloca J.A.,43,142,6,4,6,2,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Bastl G.,Ketola T.,81,153,6,4,6,4,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Courier J.,Nalbandian D.,60,473,6,3,3,6,7,5,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Fromberg R.,Kiefer N.,63,4,6,4,6,4,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Novak J.,Corretja A.,42,12,6,7,6,1,6,1,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Kratochvil M.,Costa A.,136,13,3,6,7,6,6,3,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Black B.,El Aynaoui Y.,54,17,6,3,1,6,6,1,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Pozzi G.,Koubek S.,83,23,7,6,6,1,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Bastl G.,Ferrero J.C.,81,27,7,6,6,4,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Gambill J.M.,Alami K.,86,29,6,4,5,7,6,1,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Ivanisevic G.,Spadea V.,69,30,7,5,6,2,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Ferreira W.,Arazi H.,44,31,7,5,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Pavel A.,Santoro F.,67,33,6,3,4,6,7,6,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Vinciguerra A.,Safin M.,62,34,1,6,6,1,6,2,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Rusedski G.,Medvedev A.,18,35,6,4,7,5,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Rios M.,Chang M.,8,37,6,4,6,4,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,2nd Round,3,Sampras P.,Moya C.,2,43,6,1,6,4,,,,,,,2,0,Completed
