ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,1st Round,3,Zabaleta M.,Sanguinetti D.,35,54,7,6,6,4,,,,,,,2,0,Completed,1.8,1.909,1.85,1.9,1.74,1.95,1.75,1.75,1.833,1.833
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Canas G.,Srichaphan P.,19,60,6,2,6,1,,,,,,,2,0,Completed,1.4,2.75,1.36,3,,,1.35,2.5,1.333,3
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Dent T.,Mantilla F.,75,55,7,6,7,5,,,,,,,2,0,Completed,1.444,2.625,1.45,2.65,,,1.45,2.2,1.444,2.625
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Grosjean S.,Nieminen J.,11,38,6,2,6,4,,,,,,,2,0,Completed,1.444,2.625,1.42,2.75,,,1.5,2.1,1.4,2.75
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Haas T.,Schalken S.,3,22,6,3,3,6,6,3,,,,,2,1,Completed,1.571,2.25,1.6,2.25,,,1.55,2,1.533,2.375
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Henman T.,Blake J.,4,31,6,3,6,3,,,,,,,2,0,Completed,1.5,2.5,1.55,2.4,,,1.45,2.2,1.444,2.625
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Kafelnikov Y.,El Aynaoui Y.,5,18,6,7,6,4,7,5,,,,,2,1,Completed,1.533,2.375,1.6,2.25,,,1.45,2.2,1.5,2.375
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Koubek S.,Ferrero J.C.,42,8,7,5,6,3,,,,,,,2,0,Completed,2.75,1.4,3.05,1.35,,,2.7,1.3,2.75,1.4
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Martin T.,Johansson T.,47,9,7,6,6,3,,,,,,,2,0,Completed,1.833,1.833,1.85,1.9,,,1.75,1.75,,
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Nalbandian D.,Robredo T.,14,34,7,6,6,3,,,,,,,2,0,Completed,1.667,2.1,1.85,1.9,,,1.55,2,1.727,2
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Novak J.,Zabaleta M.,13,35,6,1,6,3,,,,,,,2,0,Completed,1.4,2.75,1.36,3,,,1.35,2.5,1.364,2.875
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Rios M.,Moya C.,27,16,7,5,7,5,,,,,,,2,0,Completed,2.25,1.571,2.6,1.45,,,2.3,1.4,2.25,1.571
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Roddick A.,Lapentti N.,12,28,6,4,3,6,7,6,,,,,2,1,Completed,1.286,3.5,1.3,3.3,,,1.3,2.7,1.333,3
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Safin M.,Pavel A.,2,17,6,3,7,6,,,,,,,2,0,Completed,1.364,3,1.32,3.25,,,1.35,2.5,1.364,2.875
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Sampras P.,Lee H.T.,15,94,3,6,7,6,6,2,,,,,2,1,Completed,1.25,3.75,1.28,3.4,,,1.3,2.7,1.25,3.5
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Santoro F.,Pless K.,40,88,4,6,6,2,7,6,,,,,2,1,Completed,1.444,2.625,1.45,2.7,,,1.4,2.3,1.444,2.625
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,2nd Round,3,Stepanek R.,Spadea V.,85,74,7,6,7,6,,,,,,,2,0,Completed,2.1,1.667,2.1,1.68,,,2,1.55,2.1,1.667
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,3rd Round,3,Canas G.,Kafelnikov Y.,19,5,6,2,6,2,,,,,,,2,0,Completed,1.833,1.833,1.8,1.95,,,1.75,1.75,1.909,1.8
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,3rd Round,3,Grosjean S.,Stepanek R.,11,85,6,2,6,2,,,,,,,2,0,Completed,1.333,3.25,1.33,3.15,,,1.3,2.7,1.286,3.4
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,3rd Round,3,Haas T.,Sampras P.,3,15,7,6,3,6,7,6,,,,,2,1,Completed,1.8,1.909,1.9,1.85,,,1.75,1.75,1.8,1.909
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,3rd Round,3,Nalbandian D.,Henman T.,14,4,4,6,7,6,7,5,,,,,2,1,Completed,3.25,1.333,3.1,1.33,,,2.5,1.35,2.875,1.364
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,3rd Round,3,Novak J.,Dent T.,13,75,7,5,6,3,,,,,,,2,0,Completed,1.533,2.375,1.55,2.4,,,1.55,2,1.571,2.25
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,3rd Round,3,Roddick A.,Koubek S.,12,42,6,3,6,3,,,,,,,2,0,Completed,1.25,3.75,1.25,3.65,,,1.25,3,1.222,3.8
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,3rd Round,3,Safin M.,Rios M.,2,27,3,6,6,3,7,6,,,,,2,1,Completed,1.333,3.25,1.36,3,,,1.35,2.5,1.364,2.875
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,3rd Round,3,Santoro F.,Martin T.,40,47,6,2,6,4,,,,,,,2,0,Completed,3,1.364,3,1.36,,,2.7,1.3,,
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,Quarterfinals,3,Canas G.,Safin M.,19,2,7,5,6,3,,,,,,,2,0,Completed,2.5,1.5,2.3,1.57,,,1.9,1.6,2.25,1.571
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,Quarterfinals,3,Haas T.,Santoro F.,3,40,6,4,4,6,6,3,,,,,2,1,Completed,1.286,3.5,1.33,3.15,,,1.3,2.7,1.364,2.875
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,Quarterfinals,3,Novak J.,Grosjean S.,13,11,7,5,6,3,,,,,,,2,0,Completed,1.909,1.8,1.95,1.8,,,1.85,1.65,1.909,1.8
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,Quarterfinals,3,Roddick A.,Nalbandian D.,12,14,6,3,6,2,,,,,,,2,0,Completed,1.364,3,1.4,2.8,,,1.4,2.3,1.364,2.875
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,Semifinals,3,Canas G.,Haas T.,19,3,6,4,3,6,7,6,,,,,2,1,Completed,1.909,1.8,2,1.75,,,1.75,1.75,1.833,1.833
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,Semifinals,3,Roddick A.,Novak J.,12,13,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,1.53,2.4,,,1.5,2.1,1.5,2.5
46,Toronto,Toronto TMS,29/07/02,Masters,Outdoor,Hard,The Final,3,Canas G.,Roddick A.,19,12,6,4,7,5,,,,,,,2,0,Completed,2.5,1.5,2.45,1.52,,,2.2,1.45,,
