ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
27,Hamburg,Hamburg TMS,13/05/04,Masters,Outdoor,Clay,3rd Round,3,Moya C.,Verdasco F.,8,52,6,4,3,6,6,4,,,,,2,1,Completed,1.364,3,1.42,2.85,1.4,2.85,1.25,3,1.397,3.17
27,Hamburg,Hamburg TMS,13/05/04,Masters,Outdoor,Clay,3rd Round,3,Coria G.,Robredo T.,3,19,7,6,6,4,,,,,,,2,0,Completed,1.25,3.75,1.3,3.4,1.35,3.1,1.3,2.7,1.313,3.74
27,Hamburg,Hamburg TMS,14/05/04,Masters,Outdoor,Clay,Quarterfinals,3,Federer R.,Moya C.,1,8,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,1.45,2.75,1.5,2.45,1.45,2.35,1.476,2.82
27,Hamburg,Hamburg TMS,14/05/04,Masters,Outdoor,Clay,Quarterfinals,3,Hewitt L.,Melzer J.,17,68,6,4,6,3,,,,,,,2,0,Completed,1.571,2.25,1.5,2.6,1.55,2.4,1.5,2.2,1.559,2.6
27,Hamburg,Hamburg TMS,14/05/04,Masters,Outdoor,Clay,Quarterfinals,3,Coria G.,Ferrer D.,3,57,6,2,6,2,,,,,,,2,0,Completed,1.125,5.5,1.15,5.5,1.17,4.67,1.15,4,1.154,6.1
27,Hamburg,Hamburg TMS,14/05/04,Masters,Outdoor,Clay,Quarterfinals,3,Ljubicic I.,Youzhny M.,40,44,4,6,7,5,6,1,,,,,2,1,Completed,1.667,2.1,1.74,2.1,1.8,1.95,1.75,1.85,1.826,2.05
27,Hamburg,Hamburg TMS,15/05/04,Masters,Outdoor,Clay,Semifinals,3,Federer R.,Hewitt L.,1,17,6,0,6,4,,,,,,,2,0,Completed,1.286,3.5,1.25,3.95,1.32,3.56,1.25,3.2,1.274,4.15
27,Hamburg,Hamburg TMS,15/05/04,Masters,Outdoor,Clay,Semifinals,3,Coria G.,Ljubicic I.,3,40,3,6,6,1,6,4,,,,,2,1,Completed,1.111,6,1.13,6,1.13,6.41,1.1,4.8,1.138,6.75
27,Hamburg,Hamburg TMS,16/05/04,Masters,Outdoor,Clay,The Final,5,Federer R.,Coria G.,1,3,4,6,6,4,6,2,6,2,,,3,1,Completed,1.444,2.625,1.5,2.6,1.5,2.67,1.45,2.35,1.51,2.73
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
