ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,2nd Round,3,Bjorkman J.,Levy H.,30,102,6,1,6,3,,,,,,,2,0,Completed,1.4,2.75,1.45,2.75,1.5,2.45,1.4,2.3,1.465,2.9
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,2nd Round,3,Corretja A.,Robredo T.,98,20,6,1,6,4,,,,,,,2,0,Completed,2.625,1.444,2.75,1.45,2.6,1.45,2.3,1.4,3.15,1.4
18,Indian Wells,Pacific Life Open,13/03/04,Masters,Outdoor,Hard,2nd Round,3,Chela J.I.,Martin A.,34,57,5,7,6,2,6,0,,,,,2,1,Completed,1.571,2.25,1.53,2.5,1.55,2.35,1.45,2.2,1.592,2.51
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Dent T.,Kuerten G.,43,16,7,5,6,4,,,,,,,2,0,Completed,2.25,1.571,2.4,1.57,2.15,1.65,2,1.55,2.52,1.588
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Horna L.,Lopez F.,61,21,6,3,7,6,,,,,,,2,0,Completed,3,1.364,2.95,1.4,2.85,1.4,2.7,1.3,3.25,1.385
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Henman T.,Larose S.,10,228,6,3,6,2,,,,,,,2,0,Completed,1.05,8.5,1.1,7,1.1,6.25,1.1,4.5,1.111,7.85
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Arthurs W.,Schuettler R.,128,6,6,1,7,6,,,,,,,2,0,Completed,2.625,1.444,2.95,1.4,2.9,1.4,2.2,1.45,3.1,1.408
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Gaudio G.,Ferreira W.,35,48,6,2,7,5,,,,,,,2,0,Completed,2.1,1.667,2.1,1.73,2.2,1.65,1.9,1.6,2.26,1.694
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Costa A.,Canas G.,25,104,7,5,6,7,6,4,,,,,2,1,Completed,2,1.727,2.25,1.65,2.3,1.6,1.75,1.75,2.24,1.704
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Blake J.,Ginepri R.,39,28,6,4,7,5,,,,,,,2,0,Completed,1.667,2.1,1.8,2,1.7,2.1,1.6,1.9,1.826,2.05
