ATP;Location;Tournament;Date;Series;Court;Surface;Surface_WinRate_Favorite;Surface_WinRate_Not_Favorite;Surface_Matches_Favorite;Surface_Matches_Not_Favorite;Round;Round_Code;Best of;Player_Favorite;Player_Not_Favorite;WinStreak_Favorite;WinStreak_Not_Favorite;Win_Streak_Diff;Rank_Favorite;Rank_Not_Favorite;Rank_Diff_Signed;Rank_Diff_Abs;Favorite_Wins;GrandSlams_Favorite;GrandSlams_Not_Favorite;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,3333333333333333;0,75;3;4;1st Round;1;5;tsitsipas s.;marterer m.;0;0;0;6,0;116,0;-110,0;110,0;1;0;0;tsitsipas s.;marterer m.;6,0;116,0;6,0;2,0;6,0;2,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;1,03;15,0;;;;;1,03;17,6;4080,0;493,0;;;;;;;1,04;21,0;1,03;14,56
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,375;0,0;8;1;1st Round;1;5;jaziri m.;otte o.;0;0;0;92,0;144,0;-52,0;52,0;0;0;0;otte o.;jaziri m.;144,0;92,0;6,0;3,0;6,0;1,0;4,0;6,0;6,0;0,0;;;3,0;1,0;Completed;;;;;;;;;1,8;2,0;;;;;1,79;2,15;391,0;602,0;;;;;;;1,82;2,15;1,77;2,05
32;Paris;French Open;2019-05-26;Grand Slam;Outdoor;Clay;0,7037037037037037;0,25;27;4;1st Round;1;5;nishikori k.;halys q.;0;0;0;7,0;151,0;-144,0;144,0;1;0;0;nishikori k.;halys q.;7,0;151,0;6,0;2,0;6,0;3,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;1,14;5,5;;;;;1,15;6,48;3860,0;376,0;;;;;;;1,18;6,48;1,15;5,57
32;Paris;French Open;2019-05-27;Grand Slam;Outdoor;Clay;0,3333333333333333;0,0;6;0;1st Round;1;5;basilashvili n.;londero j.i.;0;0;0;16,0;78,0;-62,0;62,0;0;0;0;londero j.i.;basilashvili n.;78,0;16,0;6,0;4,0;6,0;1,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;2,5;1,53;;;;;2,6;1,56;695,0;1970,0;;;;;;;2,78;1,6;2,58;1,51
32;Paris;French Open;2019-05-27;Grand Slam;Outdoor;Clay;0,5;0,0;2;0;1st Round;1;5;munar j.;caruso s.;0;0;0;53,0;147,0;-94,0;94,0;0;0;0;caruso s.;munar j.;147,0;53,0;7,0;5,0;4,0;6,0;6,0;3,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;3,75;1,28;;;;;4,21;1,27;388,0;900,0;;;;;;;4,21;1,31;3,86;1,26
32;Paris;French Open;2019-05-27;Grand Slam;Outdoor;Clay;0,0;0,5;0;12;1st Round;1;5;harris l.;rosol l.;0;0;0;90,0;149,0;-59,0;59,0;1;0;0;harris l.;rosol l.;90,0;149,0;6,0;1,0;4,0;6,0;2,0;6,0;6,0;1,0;6,0;2,0;3,0;2,0;Completed;;;;;;;;;1,57;2,37;;;;;1,63;2,45;617,0;385,0;;;;;;;1,64;2,49;1,6;2,35
32;Paris;French Open;2019-05-27;Grand Slam;Outdoor;Clay;0,47058823529411764;0,0;17;2;1st Round;1;5;paire b.;copil m.;0;0;0;38,0;83,0;-45,0;45,0;1;0;0;paire b.;copil m.;38,0;83,0;6,0;4,0;6,0;7,0;6,0;0,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;1,14;5,5;;;;;1,21;5,12;1168,0;667,0;;;;;;;1,21;5,6;1,18;4,97
32;Paris;French Open;2019-05-27;Grand Slam;Outdoor;Clay;0,25;0,0;4;2;1st Round;1;5;albot r.;sandgren t.;0;0;0;40,0;100,0;-60,0;60,0;1;0;0;albot r.;sandgren t.;40,0;100,0;7,0;6,0;7,0;6,0;3,0;6,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;1,33;3,4;;;;;1,33;3,66;1101,0;574,0;;;;;;;1,36;3,79;1,33;3,36
32;Paris;French Open;2019-05-27;Grand Slam;Outdoor;Clay;0,782608695652174;0,0;23;0;1st Round;1;5;thiem d.;paul t.;0;0;0;4,0;131,0;-127,0;127,0;1;0;0;thiem d.;paul t.;4,0;131,0;6,0;4,0;4,0;6,0;7,0;6,0;6,0;2,0;;;3,0;1,0;Completed;;;;;;;;;1,02;19,0;;;;;1,02;21,16;4685,0;421,0;;;;;;;1,03;26,5;1,02;16,85
32;Paris;French Open;2019-05-27;Grand Slam;Outdoor;Clay;0,5;0,0;18;1;1st Round;1;5;cuevas p.;janvier m.;0;0;0;47,0;190,0;-143,0;143,0;1;0;0;cuevas p.;janvier m.;47,0;190,0;6,0;4,0;6,0;4,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;1,16;5,0;;;;;1,17;5,86;983,0;269,0;;;;;;;1,18;5,86;1,17;5,19
