ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;1st Round;3;Nieminen J.;Youzhny M.;33;23;7,0;5,0;3,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;2,5;1,5;;;;;;;;;;;2,5;1,55;2,55;1,606;1030,0;1190,0;2,4;1,55;2,375;1,533;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;1st Round;3;Monfils G.;Fognini F.;18;75;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,12;5,5;;;;;;;;;;;1,19;4,76;1,213;5,29;1283,0;573,0;1,15;5,2;1,167;4,5;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;1st Round;3;Kohlschreiber P.;Moya C.;31;46;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,53;2,37;;;;;;;;;;;1,55;2,45;1,599;2,57;1065,0;805,0;1,55;2,4;1,533;2,375;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;1st Round;3;Ginepri R.;Llodra M.;63;38;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,66;2,1;;;;;;;;;;;1,7;2,15;1,709;2,31;660,0;885,0;1,7;2,1;1,72;2,0;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;1st Round;3;Soderling R.;Serra F.;28;64;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,14;5,0;;;;;;;;;;;1,2;4,55;1,2;5,5;1080,0;658,0;1,18;4,6;1,2;4,333;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;1st Round;3;Hanescu V.;Tursunov D.;73;26;4,0;6,0;6,0;2,0;6,0;3,0;;;;;2,0;1,0;Completed;3,75;1,25;;;;;;;;;;;3,55;1,3;3,95;1,308;579,0;1123,0;3,9;1,24;3,5;1,286;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;1st Round;3;Lopez F.;Montanes A.;40;48;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,22;4,0;;;;;;;;;;;1,25;4,0;1,26;4,55;865,0;777,0;1,19;4,4;1,2;4,333;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;2nd Round;3;Simon G.;Blake J.;16;11;3,0;6,0;6,0;1,0;6,0;4,0;;;;;2,0;1,0;Completed;2,1;1,66;;;;;;;;;;;2,05;1,75;2,22;1,758;1390,0;1625,0;2,04;1,74;2,25;1,571;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;2nd Round;3;Cilic M.;Verdasco F.;24;13;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;2,1;1,66;;;;;;;;;;;2,3;1,6;2,24;1,746;1170,0;1440,0;2,13;1,68;2,1;1,667;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;2nd Round;3;Murray A.;Bolelli S.;4;43;6,0;0,0;2,0;1,0;;;;;;;1,0;0,0;Retired;1,11;6,0;;;;;;;;;;;1,15;5,6;1,154;6,9;2995,0;810,0;1,11;6,2;1,143;5,0;;;;;;
