ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;El Aynaoui Y.;Zabaleta M.;16,0;45,0;3,0;6,0;7,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Agassi A.;Gaudio G.;1,0;46,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Hewitt L.;di Pasquale A.;12,0;58,0;6,0;3,0;6,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;2nd Round;3,0;Costa A.;Ulihrach B.;21,0;109,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;3rd Round;3,0;Hrbaty D.;Agassi A.;17,0;1,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;3rd Round;3,0;Hewitt L.;Enqvist T.;12,0;9,0;7,0;6,0;2,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;3rd Round;3,0;Kuerten G.;El Aynaoui Y.;6,0;16,0;;;;;;;;;;;0,0;0,0;Walkover;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;3rd Round;3,0;Puerta M.;Ferrero J.C.;38,0;18,0;7,0;6,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;3rd Round;3,0;Norman M.;Medvedev A.;4,0;25,0;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;3rd Round;3,0;Corretja A.;Santoro F.;11,0;28,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
