ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Knippschild J.,5,109,6,1,6,4,6,2,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Kiefer N.,Black W.,22,107,6,3,7,5,6,2,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Tarango J.,48,112,3,6,6,3,6,4,6,2,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Kratochvil M.,Sluiter R.,94,96,6,2,6,2,7,6,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Kuerten G.,Gaudio G.,1,38,7,5,6,7,6,3,7,5,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Lee H.T.,24,87,3,6,6,3,6,4,3,6,8,6,3,2,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Levy H.,Vicente F.,60,44,4,6,6,3,6,3,6,1,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Mamiit C.,Breen M.,125,260,1,6,6,4,4,6,6,3,6,4,3,2,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Martin A.,Rochus O.,81,70,6,3,6,4,6,0,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Martin T.,Black B.,54,35,7,5,6,4,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev A.,Mahut N.,59,388,6,2,6,4,2,6,4,6,6,4,3,2,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Mirnyi M.,Perry T.,45,484,7,6,6,4,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Rios M.,42,23,6,3,6,3,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Nestor D.,Mantilla F.,218,100,6,2,3,6,6,2,6,4,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Norman M.,Huet S.,4,119,1,6,7,5,6,1,7,6,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Pavel A.,Russell M.,26,148,7,6,6,7,7,5,6,4,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Pioline C.,Sanguinetti D.,17,71,7,6,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Popp A.,Srichaphan P.,84,110,3,6,6,4,6,1,3,6,6,2,3,2,Completed
