ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Dosedel S.,Boutter J.,64,155,7,6,5,7,6,3,7,5,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Pretzsch A.,O'Brien A.,115,162,7,6,6,2,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Saulnier C.,12,171,7,6,6,4,4,6,6,2,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Philippoussis M.,Okun N.,19,189,6,4,6,2,2,6,3,6,6,2,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Draper S.,40,200,7,6,6,3,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Paes L.,Petrovic D.,137,201,6,2,3,6,7,6,6,4,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Koubek S.,Cadart R.,43,217,6,3,5,7,6,2,6,4,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,El Aynaoui Y.,Parmar A.,29,257,6,7,7,6,1,6,6,3,6,1,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Squillari F.,Sirianni J.,48,356,6,3,6,2,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Clement A.,Lapentti N.,54,7,3,6,7,6,6,2,4,1,,,2,1,Retired
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Vicente F.,Martin T.,55,9,6,4,2,6,3,6,6,3,7,5,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Escude N.,Krajicek R.,34,10,2,6,6,3,6,1,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,El Aynaoui Y.,Haas T.,29,12,7,5,6,3,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Hewitt L.,Corretja A.,17,30,6,0,6,0,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Ilie A.,Novak J.,46,37,6,3,7,6,6,7,6,4,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Ferreira W.,Johansson T.,53,42,6,3,6,2,6,7,4,6,6,2,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Kafelnikov Y.,Vacek D.,2,44,6,3,6,0,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Black W.,Rosset M.,151,45,6,1,2,6,7,6,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Agassi A.,Schalken S.,1,47,7,5,6,0,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Henman T.,Schuettler R.,13,60,6,2,4,1,,,,,,,1,0,Retired
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Clavet F.,Ivanisevic G.,39,70,7,6,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Sampras P.,Tillstrom M.,3,79,6,3,7,6,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Norman M.,Pozzi G.,11,82,6,4,6,3,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Ferrero J.C.,Tieleman L.,40,89,7,6,6,4,5,7,6,7,6,4,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Voinea A.,Portas A.,95,91,6,2,6,1,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Mirnyi M.,Dupuis A.,67,98,6,7,7,6,7,6,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Dosedel S.,Srichaphan P.,64,102,4,6,6,2,6,4,6,1,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Federer R.,Kroslak J.,62,104,7,6,6,2,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Kiefer N.,Behrend T.,4,106,7,6,6,0,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Fromberg R.,Pretzsch A.,80,115,7,6,7,6,6,4,,,,,3,0,Completed
