ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Schuettler R.,Moya C.,77,51,6,3,6,7,6,3,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Spadea V.,Rusedski G.,61,22,6,3,6,7,6,3,6,7,9,7,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Tarango J.,Grosjean S.,60,28,7,6,3,6,6,4,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Vinciguerra A.,Tieleman L.,39,96,7,6,6,1,6,7,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Vinck C.,Massu N.,160,69,7,5,4,6,7,6,3,6,6,3,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Voltchkov V.,Chela J.I.,237,54,6,7,6,3,3,6,6,3,6,0,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,1st Round,5,Woodbridge T.,Siemerink J.,171,123,6,4,3,6,7,6,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Agassi A.,Martin T.,1,20,6,4,2,6,7,6,2,6,10,8,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Arazi H.,Lareau S.,38,133,6,3,3,6,6,7,6,4,9,7,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Bjorkman J.,Dosedel S.,78,50,6,4,6,3,6,0,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Black B.,Hrbaty D.,52,32,6,3,7,5,6,2,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Damm M.,Safin M.,86,9,7,5,7,6,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,El Aynaoui Y.,Lee M.,16,259,6,7,6,2,6,2,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Enqvist T.,Clavet F.,8,42,7,6,7,6,7,5,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Ferreira W.,Krajicek R.,37,27,5,7,6,3,6,3,7,6,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Gambill J.M.,Santoro F.,56,30,4,6,6,4,6,2,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Gimelstob J.,Llodra M.,99,158,7,6,6,3,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Godwin N.,Martin A.,203,67,7,5,6,4,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Goldstein P.,Tarango J.,76,60,3,6,6,2,5,7,6,2,12,10,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Golmard J.,Koubek S.,70,36,7,6,4,6,6,1,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Gustafsson M.,Mirnyi M.,72,59,6,4,6,3,6,1,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Haas T.,Vinciguerra A.,23,39,6,3,7,6,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Henman T.,Clement A.,14,58,6,4,6,4,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Johansson T.,Kafelnikov Y.,57,5,6,1,7,6,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Kuerten G.,Bower J.,4,509,6,4,6,4,7,5,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Pavel A.,Nestor D.,34,154,7,6,7,5,4,6,6,0,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Philippoussis M.,di Pasquale A.,18,49,4,6,7,6,6,3,6,0,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Popp A.,Chang M.,114,24,7,6,4,6,6,7,6,3,8,6,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Portas A.,Spadea V.,55,61,6,4,6,3,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Pozzi G.,O'Brien A.,64,192,7,6,6,3,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Prinosil D.,Huet S.,84,108,6,4,2,6,6,1,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Rafter P.,Woodbridge T.,21,171,6,3,6,3,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Rochus O.,Norman M.,179,2,6,4,2,6,6,4,6,7,6,1,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Rosset M.,Parmar A.,33,137,7,6,7,5,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Sampras P.,Kucera K.,3,44,7,6,3,6,6,3,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Schalken S.,Rochus C.,53,89,6,4,6,3,6,1,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Schuettler R.,Escude N.,77,17,6,4,7,6,7,6,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Vinck C.,Levy H.,160,142,6,4,7,6,7,5,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,2nd Round,5,Voltchkov V.,Pioline C.,237,6,6,3,6,3,2,6,3,6,6,4,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Agassi A.,Golmard J.,1,70,6,3,6,3,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Bjorkman J.,Godwin N.,78,203,6,3,6,4,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Black B.,Portas A.,52,55,6,2,6,0,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Enqvist T.,Vinck C.,8,160,6,3,6,7,2,6,6,3,6,3,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Ferreira W.,Pavel A.,37,34,3,6,7,6,7,5,6,3,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Gambill J.M.,Goldstein P.,56,76,7,6,6,2,6,2,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Henman T.,Arazi H.,14,38,6,3,6,3,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Johansson T.,Gustafsson M.,57,72,6,7,7,6,6,4,5,7,6,3,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Philippoussis M.,Schalken S.,18,53,4,6,6,3,6,7,7,6,20,18,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Popp A.,Kuerten G.,114,4,7,6,6,2,6,1,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Pozzi G.,Rochus O.,64,179,6,3,3,6,7,6,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Prinosil D.,Damm M.,84,86,7,6,3,6,7,6,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Rafter P.,Schuettler R.,21,77,6,2,7,6,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Rosset M.,Haas T.,33,23,6,4,3,6,6,3,3,6,9,7,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Sampras P.,Gimelstob J.,3,99,2,6,6,4,6,2,6,2,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,3rd Round,5,Voltchkov V.,El Aynaoui Y.,237,16,7,6,7,5,7,6,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,4th Round,5,Agassi A.,Prinosil D.,1,84,6,4,6,3,6,3,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,4th Round,5,Black B.,Pozzi G.,52,64,4,6,7,6,6,2,6,4,,,3,1,Completed
