ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,3rd Round,3,Pavel A.,Arazi H.,43,34,6,0,6,2,,,,,,,2,0,Completed,1.75,1.95,1.75,1.82,1.75,1.75,1.727,2
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,3rd Round,3,Rafter P.,Martin T.,9,33,6,4,6,2,,,,,,,2,0,Completed,1.45,2.55,1.38,2.6,1.4,2.3,1.4,2.75
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,3rd Round,3,Roddick A.,Kuerten G.,35,1,6,7,6,4,6,2,,,,,2,1,Completed,2.2,1.6,2.1,1.55,2.1,1.5,2.25,1.571
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,3rd Round,3,Santoro F.,Costa A.,25,44,7,5,2,6,6,3,,,,,2,1,Completed,1.75,1.95,1.7,1.9,1.7,1.8,1.667,2.1
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,3rd Round,3,Ulihrach B.,Escude N.,40,28,6,3,1,6,6,2,,,,,2,1,Completed,2.05,1.68,1.9,1.67,1.85,1.65,1.909,1.8
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,Quarterfinals,3,Haas T.,Clement A.,24,12,6,2,6,4,,,,,,,2,0,Completed,1.6,2.2,1.7,1.9,1.55,2,1.727,2
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,Quarterfinals,3,Pavel A.,Roddick A.,43,35,6,4,6,7,6,3,,,,,2,1,Completed,2.75,1.38,2.7,1.36,2.3,1.4,2.875,1.364
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,Quarterfinals,3,Rafter P.,Ferrero J.C.,9,4,7,5,4,6,6,2,,,,,2,1,Completed,1.62,2.15,1.57,2.1,1.5,2.1,1.571,2.25
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,Quarterfinals,3,Santoro F.,Ulihrach B.,25,40,6,3,4,6,6,1,,,,,2,1,Completed,1.7,2,1.75,1.85,1.75,1.75,1.727,2
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,Semifinals,3,Pavel A.,Haas T.,43,24,6,4,5,0,,,,,,,1,0,Retired,2.2,1.6,2.1,1.57,2,1.55,2.1,1.667
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,Semifinals,3,Rafter P.,Santoro F.,9,25,6,2,6,2,,,,,,,2,0,Completed,1.28,3.25,1.35,2.7,1.3,2.7,1.364,2.875
48,Montreal,Montreal TMS,30/07/01,Masters,Outdoor,Hard,The Final,3,Pavel A.,Rafter P.,43,9,7,6,2,6,6,3,,,,,2,1,Completed,3.25,1.28,2.65,1.35,2.5,1.35,3,1.333
