ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Rochus O.,Soderling R.,35,45,983,775,6,2,6,7,5,2,,,,,1,1,Retired,2.1,1.66,2.05,1.77,2.15,1.65,1.9,1.7,2.05,1.87
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Gaudio G.,Carlsen K.,8,53,1875,665,3,6,6,2,7,5,,,,,2,1,Completed,1.39,2.75,1.4,2.95,1.4,2.85,1.35,2.7,1.405,3.27
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Davydenko N.,Berdych T.,6,33,2115,1016,5,7,6,1,6,3,,,,,2,1,Completed,1.57,2.25,1.67,2.2,1.65,2.15,1.55,2.1,1.606,2.55
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Agassi A.,Bjorkman J.,7,129,1915,348,6,1,3,6,6,2,,,,,2,1,Completed,1.07,7.5,1.06,9,1.07,7.19,1.05,6,1.074,12
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Grosjean S.,Gasquet R.,34,18,985,1425,7,6,6,3,,,,,,,2,0,Completed,2.37,1.53,2.2,1.65,2.35,1.55,2,1.6,2.52,1.617
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Clement A.,63,101,598,421,6,3,3,6,6,3,,,,,2,1,Completed,1.66,2.1,1.67,2.15,1.55,2.35,1.45,2.35,1.613,2.53
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Hrbaty D.,Novak J.,26,23,1241,1275,6,3,4,6,6,0,,,,,2,1,Completed,1.83,1.83,2,1.77,1.87,1.87,1.9,1.7,2.15,1.8
48,Montreal,Rogers Cup,10/08/05,Masters,Outdoor,Hard,2nd Round,3,Robredo T.,El Aynaoui Y.,22,423,1290,64,7,6,7,6,,,,,,,2,0,Completed,1.12,5.5,1.17,4.75,1.15,4.9,1.15,4,1.187,5.84
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Ferrer D.,27,20,1190,1365,7,5,4,6,6,3,,,,,2,1,Completed,1.44,2.62,1.48,2.6,1.45,2.65,1.4,2.5,1.465,2.95
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,2nd Round,3,Beck K.,Nalbandian D.,44,12,812,1650,7,6,6,7,6,3,,,,,2,1,Completed,3.75,1.25,3.85,1.25,3.9,1.25,2.9,1.3,4.4,1.263
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,2nd Round,3,Puerta M.,Pavel A.,11,38,1652,855,3,6,6,3,6,4,,,,,2,1,Completed,2.5,1.5,2.85,1.4,2.6,1.45,2.7,1.35,2.89,1.478
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,2nd Round,3,Malisse X.,Johansson T.,58,15,643,1470,7,5,7,6,,,,,,,2,0,Completed,2.37,1.53,2.5,1.53,2.45,1.5,2.2,1.5,2.89,1.478
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,2nd Round,3,Nadal R.,Mello R.,2,56,4030,648,6,1,6,2,,,,,,,2,0,Completed,1.05,8.5,1.06,9,1.04,9.25,1.07,4.5,1.089,10.25
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,3rd Round,3,Mathieu P.H.,Rochus O.,63,35,598,983,6,1,6,2,,,,,,,2,0,Completed,1.8,1.9,1.9,1.9,2,1.75,1.85,1.75,1.98,1.926
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,3rd Round,3,Rusedski G.,Ancic M.,40,29,843,1115,6,2,3,6,6,2,,,,,2,1,Completed,2.37,1.53,2.35,1.6,2.35,1.55,2,1.6,2.56,1.602
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,3rd Round,3,Gaudio G.,Robredo T.,8,22,1875,1290,6,3,7,6,,,,,,,2,0,Completed,1.9,1.8,1.77,2,1.75,2.05,1.8,1.8,1.901,2.01
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,3rd Round,3,Nadal R.,Grosjean S.,2,34,4030,985,6,4,6,4,,,,,,,2,0,Completed,1.16,4.5,1.18,4.65,1.2,4.45,1.2,3.6,1.211,5.3
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,3rd Round,3,Beck K.,Davydenko N.,44,6,812,2115,6,4,3,6,7,6,,,,,2,1,Completed,2.75,1.39,2.7,1.45,2.6,1.45,2.5,1.4,2.86,1.485
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,3rd Round,3,Hrbaty D.,Ferrero J.C.,26,27,1241,1190,6,4,6,2,,,,,,,2,0,Completed,2.2,1.61,2.35,1.57,2.3,1.6,2,1.6,2.57,1.599
48,Montreal,Rogers Cup,11/08/05,Masters,Outdoor,Hard,3rd Round,3,Puerta M.,Malisse X.,11,58,1652,643,6,2,6,4,,,,,,,2,0,Completed,2.62,1.44,2.45,1.53,2.45,1.5,2.35,1.45,2.67,1.556
48,Montreal,Rogers Cup,12/08/05,Masters,Outdoor,Hard,3rd Round,3,Agassi A.,Kiefer N.,7,39,1915,845,6,4,6,2,,,,,,,2,0,Completed,1.3,3.39,1.33,3.2,1.4,2.85,1.35,2.7,1.408,3.25
48,Montreal,Rogers Cup,12/08/05,Masters,Outdoor,Hard,Quarterfinals,3,Mathieu P.H.,Beck K.,63,44,598,812,6,1,6,2,,,,,,,2,0,Completed,1.53,2.37,1.55,2.45,1.45,2.65,1.7,1.9,1.543,2.74
48,Montreal,Rogers Cup,12/08/05,Masters,Outdoor,Hard,Quarterfinals,3,Nadal R.,Puerta M.,2,11,4030,1652,6,3,6,1,,,,,,,2,0,Completed,1.1,6.5,1.11,6.5,1.13,5.5,1.12,4.5,1.196,5.54
48,Montreal,Rogers Cup,13/08/05,Masters,Outdoor,Hard,Quarterfinals,3,Rusedski G.,Hrbaty D.,40,26,843,1241,6,3,6,4,,,,,,,2,0,Completed,2,1.72,1.9,1.9,2,1.75,1.95,1.65,2.15,1.8
48,Montreal,Rogers Cup,13/08/05,Masters,Outdoor,Hard,Quarterfinals,3,Agassi A.,Gaudio G.,7,8,1915,1875,6,3,6,4,,,,,,,2,0,Completed,1.25,3.75,1.22,4.25,1.25,3.9,1.2,3.6,1.293,4.11
48,Montreal,Rogers Cup,14/08/05,Masters,Outdoor,Hard,Semifinals,3,Nadal R.,Mathieu P.H.,2,63,4030,598,6,4,7,5,,,,,,,2,0,Completed,1.14,5,1.13,6,1.15,5.2,1.15,4,1.169,6.31
48,Montreal,Rogers Cup,14/08/05,Masters,Outdoor,Hard,Semifinals,3,Agassi A.,Rusedski G.,7,40,1915,843,6,4,6,4,,,,,,,2,0,Completed,,,,,1.4,3.1,1.4,2.5,,
48,Montreal,Rogers Cup,14/08/05,Masters,Outdoor,Hard,The Final,3,Nadal R.,Agassi A.,2,7,4030,1915,6,3,4,6,6,2,,,,,2,1,Completed,1.4,2.87,1.42,2.85,1.4,3.1,1.4,2.5,1.452,3.01
